SEX,AGE,UNIT,DESIGNATION,PAST EXP,RATINGS,years_experience,SALARY,TOTAL_EXPERIENCE
1,-0.7148471296065588,5,0,-1.627437467407453,-0.6764710186273575,-1.5984673774049036,37350.0,-2.2444952526614523
0,-0.35849798433675634,2,0,0.8447767006389832,0.728724521110055,1.0600357199425212,64750.0,1.3512580447066846
0,0.3542003062028487,2,3,-0.9210905622513282,-1.3790687884960637,-0.3459034180777513,56520.0,-0.8185930830154671
0,-0.09123612538440443,5,0,0.4916032480609209,-0.6764710186273575,-1.8029676156623977,43550.0,-1.169902313218101
1,-1.0711962748763613,2,3,1.5511236057951079,1.4313222909787613,1.0600357199425212,80580.0,1.7645630214156658
1,0.9778113104250031,2,5,0.8447767006389832,-1.3790687884960637,1.366786077328763,88970.0,1.5992410307320732
1,0.08693844725049683,2,0,0.13842979548285864,-1.3790687884960637,1.2645359582000157,58950.0,1.103275058681296
0,-0.26941069801930567,4,2,1.5511236057951079,0.026126751241348785,-1.6751549667514638,78240.0,-0.4466186039773838
0,0.2651130198853981,5,1,1.1979501532170456,-0.6764710186273575,-1.6751549667514638,61230.0,-0.6532710923318744
0,1.5123350283297068,2,1,0.4916032480609209,0.026126751241348785,1.366786077328763,88075.0,1.3925885423775826
1,-0.35849798433675634,2,5,1.5511236057951079,-0.6764710186273575,1.6479739049328175,92680.0,2.2398637446309944
0,-1.2493708475112626,2,3,-0.21474365709520365,0.728724521110055,1.1111607795068952,72060.0,0.7726310773141111
0,-1.0711962748763613,3,5,0.8447767006389832,0.026126751241348785,-1.54734231784053,64190.0,-0.7565973365091198
1,0.44328759252029937,5,2,-1.2742640148293907,0.026126751241348785,-1.4450921987117828,70160.0,-1.9138512712942672
1,-0.18032341170185506,2,0,0.4916032480609209,1.4313222909787613,-1.777405085880211,49500.0,-1.149237064382652
1,0.44328759252029937,2,0,-0.5679171096732659,0.026126751241348785,-1.2405919604542885,47050.0,-1.3352243039016936
1,-0.7148471296065588,2,2,1.1979501532170456,-0.6764710186273575,-0.16696570960244383,86000.0,0.5659785889596204
0,-0.44758527065420695,5,0,-1.627437467407453,1.4313222909787613,-0.11584065003807047,52650.0,-1.0459108202054066
0,0.5323748788377499,3,3,0.4916032480609209,0.026126751241348785,-1.7262800263158375,56880.0,-1.1079065667117538
1,0.5323748788377499,2,3,0.13842979548285864,0.026126751241348785,0.2675972966947312,69720.0,0.29733035409878245
0,1.0668985967424538,2,0,0.8447767006389832,0.728724521110055,0.24203476691254452,63150.0,0.6899700819723147
1,-0.89302170224146,2,3,-0.21474365709520365,0.026126751241348785,1.2900984879822024,71880.0,0.9172878191622548
1,-0.35849798433675634,4,2,-1.627437467407453,-1.3790687884960637,0.7532853625562801,79920.0,-0.34329235980013845
1,-1.160283561193812,2,0,-1.627437467407453,1.4313222909787613,-1.4706547284939697,43100.0,-2.1411690084842068
0,-0.26941069801930567,3,0,1.1979501532170456,-1.3790687884960637,1.3923486071109497,61900.0,1.8265587679220132
0,0.2651130198853981,0,0,1.5511236057951079,1.4313222909787613,1.5712863155862569,73150.0,2.1778679981246474
1,0.5323748788377499,2,0,0.13842979548285864,0.728724521110055,0.6765977732097196,62500.0,0.6279743354659674
0,0.08693844725049683,2,1,1.5511236057951079,0.026126751241348785,0.7532853625562801,83135.0,1.5165800353902772
0,0.17602573356794746,2,0,-0.21474365709520365,0.026126751241348785,-1.0616542519789811,48500.0,-0.9839150736990594
1,-1.160283561193812,0,3,-1.627437467407453,0.026126751241348785,1.2900984879822024,66360.0,0.09067786574429179
0,-0.5366725569716576,3,0,0.13842979548285864,1.4313222909787613,-1.3428420795830358,50250.0,-1.0045803225345085
1,-0.44758527065420695,0,0,0.13842979548285864,0.026126751241348785,-1.5217797880583432,45400.0,-1.149237064382652
1,-1.160283561193812,0,4,-0.9210905622513282,-1.3790687884960637,-0.8827165435036738,72990.0,-1.2525633085598973
0,-0.9821089885589107,2,2,0.8447767006389832,0.026126751241348785,-0.3459034180777513,84960.0,0.21466935875698612
0,-1.0711962748763613,4,0,-1.627437467407453,0.728724521110055,-1.0105291924146076,44000.0,-1.769194529446124
0,0.2651130198853981,3,0,-1.627437467407453,-1.3790687884960637,1.0344731901603346,53000.0,-0.11597462261019884
1,0.7996367377901018,2,0,0.13842979548285864,0.026126751241348785,1.315661017764389,64850.0,1.144605556352194
1,-0.18032341170185506,4,0,1.5511236057951079,0.026126751241348785,1.1622858390712685,65750.0,1.8472240167574625
0,0.9778113104250031,0,3,-1.627437467407453,-0.6764710186273575,0.06309705843723704,61080.0,-0.9012540783572632
0,0.8887240241075525,0,0,0.13842979548285864,1.4313222909787613,-0.3203408882955647,59450.0,-0.17797036911654582
1,1.6905096009646081,5,0,-1.627437467407453,-1.3790687884960637,-1.3428420795830358,42250.0,-2.0378427643069617
0,1.3341604556948057,3,0,0.13842979548285864,-0.6764710186273575,-0.5759661861174324,52950.0,-0.3846228574710365
1,-0.18032341170185506,5,1,-0.9210905622513282,0.728724521110055,0.44653500517003897,73515.0,-0.17797036911654582
0,1.6905096009646081,2,5,0.8447767006389832,1.4313222909787613,-0.013590530909323254,91070.0,0.48331759361782406
1,-0.26941069801930567,2,0,0.13842979548285864,-1.3790687884960637,-0.06471559047369686,50350.0,0.028682119237944826
0,-0.5366725569716576,4,2,-1.627437467407453,0.026126751241348785,1.443473666675323,92160.0,0.21466935875698612
1,0.9778113104250031,2,0,-0.21474365709520365,-1.3790687884960637,1.6479739049328175,62200.0,1.2066013028585414
0,0.3542003062028487,2,0,0.8447767006389832,0.026126751241348785,-0.013590530909323254,58050.0,0.48331759361782406
0,1.3341604556948057,1,2,-0.9210905622513282,1.4313222909787613,0.3698474158234784,98400.0,-0.23996611562289316
1,1.245073169377355,1,1,0.13842979548285864,0.026126751241348785,0.2675972966947312,77610.0,0.29733035409878245
0,-1.5166327064636145,0,5,-0.21474365709520365,0.728724521110055,-1.6240299071870903,60760.0,-1.438550548078939
0,1.5123350283297068,4,3,0.13842979548285864,0.026126751241348785,-1.3428420795830358,61020.0,-1.0045803225345085
0,0.5323748788377499,2,0,1.5511236057951079,0.728724521110055,1.6224113751506306,72050.0,2.219198495795545
0,0.2651130198853981,2,2,-1.627437467407453,1.4313222909787613,0.5743476540809729,93280.0,-0.48794910164828176
0,1.6905096009646081,2,0,0.4916032480609209,1.4313222909787613,-0.6270912456818061,60450.0,-0.21930086678744415
0,-0.44758527065420695,4,3,1.1979501532170456,-1.3790687884960637,0.7532853625562801,69300.0,1.3099275470357867
1,-1.427545420146164,0,0,-1.2742640148293907,0.728724521110055,0.6254727136453462,53800.0,-0.23996611562289316
1,0.7996367377901018,2,3,1.5511236057951079,0.728724521110055,-0.5504036563352456,71880.0,0.4626523447823751
1,0.17602573356794746,3,0,-0.21474365709520365,-0.6764710186273575,1.0344731901603346,58800.0,0.7106353308077638
1,0.44328759252029937,4,0,1.5511236057951079,-0.6764710186273575,0.44653500517003897,60950.0,1.2685970493648886
1,-0.6257598432891082,3,1,-0.5679171096732659,-0.6764710186273575,-1.1127793115433546,56420.0,-1.2318980597244482
1,-0.18032341170185506,4,0,0.13842979548285864,0.026126751241348785,0.011971998872863434,55000.0,0.09067786574429179
